id_offre;titre;description;domaine;lieu;remuneration;duree;etat;visibilite;has_image;date_publication;description_length;titre_length;nb_postulations;nb_postulations_acceptees;nb_postulations_refusees;nb_favoris;has_entretien
1;Stage finance d'entreprise - Figma / logistique (Ariana #1);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 12 semaines, basé à Ariana, sur un tableau de bord KPI multi-sites. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: aider à la préparation des déclarations et dossiers, automatiser des reportings sur Excel/Power BI, participer au suivi budgétaire et à l'analyse des écarts. Compétences attendues: Capacité d'analyse et sens de la confidentialité. Connaissance des bases comptables et du reporting. Cadre de travail: méthode Agile, échanges en français, et objectifs mesurables. Vous contribuerez à fiabiliser les chiffres, documenter les hypothèses et produire des synthèses compréhensibles pour la direction. Rémunération prévue: 1502 DT. Référence offre: TN-INT-0001. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;Finance;Ariana;1502;12;disponible;1;1;2025-07-10;934;59;36;10;4;66;1
2;Stage Machine Learning Engineer - AWS (Sousse #2);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 2 semaines, basé à Sousse, sur une plateforme e-commerce. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: concevoir des scripts d'automatisation et de monitoring, améliorer les performances et la qualité du code (tests, refactor), participer à la revue de code et à la documentation technique. Compétences attendues: Une expérience avec Docker ou Linux est un plus. Bonne maîtrise de Python et des bases web (HTTP, REST). Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous manipulerez des environnements de développement, des revues de code, et des tickets Jira/Trello selon l'organisation. Rémunération prévue: 1477 DT. Référence offre: TN-INT-0002. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Informatique;Sousse;1477;2;disponible;0;1;2025-10-16;918;49;27;4;5;57;1
3;Stage relations sociales et CSE - Talent / logistique (Bizerte #3);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 6 semaines, basé à Bizerte, sur un module de réservation et paiement. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: assister les managers sur les besoins en recrutement, mettre à jour la base RH et les dossiers administratifs, participer à la mise en place d'un plan de formation. Compétences attendues: Intérêt pour le recrutement, la formation et les processus. Bon relationnel, organisation et discrétion. Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1077 DT. Référence offre: TN-INT-0003. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;RH;Bizerte;1077;6;indisponible;1;1;2024-02-13;905;66;11;1;1;28;0
4;Stage formation et développement - Reporting (Remote #4);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 22 semaines, basé à Remote, sur une application de gestion interne. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: participer à la mise en place d'un plan de formation, animer des actions de marque employeur (événements, contenu), assister les managers sur les besoins en recrutement. Compétences attendues: Capacité à gérer plusieurs sujets en parallèle. Aisance sur Excel et outils bureautiques. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1300 DT. Référence offre: TN-INT-0004. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;RH;Remote;1300;22;disponible;1;1;2025-11-22;919;56;27;8;4;48;0
5;Stage ingénieur IoT et capteurs - GCP / retail / startup (Tunis #5);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 11 semaines, basé à Tunis, sur un module de réservation et paiement. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: travailler sur des automatismes et capteurs (schémas, tests), suivre des essais, mesures et rédaction de rapports techniques, mettre en place des démarches qualité et plans de contrôle. Compétences attendues: Bases solides en mécanique/électrique/industriel selon profil. CAO/DAO (SolidWorks/AutoCAD) est un plus. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1475 DT. Référence offre: TN-INT-0005. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;Ingénierie;Tunis;1475;11;indisponible;0;0;2024-11-28;938;67;28;9;3;68;1
6;Stage ingénieur énergie et efficacité - GitHub / immobilier (Remote #6);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 5 semaines, basé à Remote, sur un projet client à livrer en itérations. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: contribuer à la maintenance préventive et corrective, modéliser des solutions sur logiciel CAO/DAO, mettre en place des démarches qualité et plans de contrôle. Compétences attendues: Bases solides en mécanique/électrique/industriel selon profil. Capacité à analyser des données de tests et à documenter. Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1480 DT. Référence offre: TN-INT-0006. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Ingénierie;Remote;1480;5;indisponible;0;0;2024-09-24;943;71;27;3;6;48;1
7;Stage relations sociales et CSE - Paie / assurance / éditeur (Remote #7);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 3 semaines, basé à Remote, sur une plateforme e-commerce. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: suivre des indicateurs RH et produire des tableaux de bord, contribuer à la préparation de la paie (données variables), participer à la mise en place d'un plan de formation. Compétences attendues: Capacité à gérer plusieurs sujets en parallèle. Intérêt pour le recrutement, la formation et les processus. Cadre de travail: méthode OKR, échanges en anglais, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 960 DT. Référence offre: TN-INT-0007. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;RH;Remote;960;3;disponible;0;0;2025-11-18;883;72;26;9;3;50;0
8;Stage formation et développement - Talent / éducation (Tunis #8);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 28 semaines, basé à Tunis, sur une application de gestion interne. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: contribuer à la préparation de la paie (données variables), participer à la mise en place d'un plan de formation, assister les managers sur les besoins en recrutement. Compétences attendues: Capacité à gérer plusieurs sujets en parallèle. Aisance sur Excel et outils bureautiques. Cadre de travail: méthode Kanban, échanges en français, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1287 DT. Référence offre: TN-INT-0008. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;RH;Tunis;1287;28;disponible;0;0;2024-09-02;876;64;25;6;5;58;0
9;Stage account manager - B2C (Bizerte #9);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 12 semaines, basé à Bizerte, sur un outil de reporting décisionnel. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: suivre le pipeline CRM et relancer les prospects, gérer une partie du portefeuille clients et la satisfaction, préparer des offres commerciales et supports de vente. Compétences attendues: Bonne organisation et suivi (CRM). Goût du contact et aisance à l'oral. Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 892 DT. Référence offre: TN-INT-0009. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;Commerce;Bizerte;892;12;disponible;1;1;2024-07-09;879;40;12;2;1;23;1
10;Stage ingénieur électrique et automatismes - PostgreSQL (Bizerte #10);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 7 semaines, basé à Bizerte, sur un pilote d'automatisation de process. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: mettre en place des démarches qualité et plans de contrôle, participer à un projet d'optimisation énergétique, modéliser des solutions sur logiciel CAO/DAO. Compétences attendues: Capacité à analyser des données de tests et à documenter. Lecture de plans, rigueur et respect des consignes sécurité. Cadre de travail: méthode Lean, échanges en français, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1654 DT. Référence offre: TN-INT-0010. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Ingénierie;Bizerte;1654;7;indisponible;0;1;2024-12-16;883;69;21;2;4;45;1
