distance_km,duration_min,climatisation,depart,arrivee,jour_semaine,heure,prix
112,143,0,Ariana,Bizerte,mercredi,20:00,47.32
112,119,0,Sousse,Sfax,vendredi,15:00,50.43
97,97,1,Tunis,Sfax,vendredi,13:00,42.93
286,334,1,Tunis,Bizerte,lundi,11:00,118.01
31,24,0,Nabeul,Tunis,lundi,09:00,13.27
179,148,1,Sousse,Ariana,dimanche,07:00,73.76
280,300,0,Bizerte,Ariana,vendredi,13:00,113.79
253,292,0,Sfax,Sousse,dimanche,11:00,105.38
144,129,0,Tunis,Bizerte,mardi,07:00,57.81
62,58,1,Bizerte,Nabeul,samedi,14:00,31.28
273,224,1,Sousse,Tunis,lundi,09:00,106.96
11,11,1,Bizerte,Tunis,jeudi,07:00,9.79
115,131,0,Monastir,Ariana,lundi,19:00,47.91
224,249,1,Ariana,Sousse,vendredi,13:00,96.11
222,229,1,Nabeul,Monastir,vendredi,20:00,97.66
226,218,1,Sousse,Ariana,jeudi,07:00,97.61
50,48,0,Ariana,Nabeul,lundi,12:00,18.88
72,92,0,Ariana,Sfax,mercredi,10:00,30.72
172,219,0,Monastir,Sfax,mardi,15:00,70.84
50,67,0,Nabeul,Monastir,jeudi,10:00,19.91
277,276,1,Sousse,Bizerte,vendredi,18:00,121.95
108,124,1,Nabeul,Monastir,lundi,21:00,44.31
44,47,0,Nabeul,Sfax,lundi,06:00,16.35
292,325,0,Monastir,Ariana,vendredi,10:00,122.63
51,54,0,Nabeul,Sousse,samedi,16:00,23.68
61,69,1,Tunis,Nabeul,mercredi,16:00,26.35
231,204,0,Bizerte,Tunis,vendredi,09:00,96.27
45,61,0,Ariana,Monastir,mercredi,19:00,18.02
196,238,1,Ariana,Nabeul,mercredi,19:00,83.87
37,34,1,Tunis,Bizerte,mercredi,21:00,17.14
295,392,1,Tunis,Ariana,dimanche,08:00,127.8
292,308,1,Sousse,Nabeul,vendredi,13:00,122.11
242,237,1,Bizerte,Monastir,dimanche,06:00,94.57
174,211,1,Nabeul,Tunis,samedi,14:00,76.97
181,171,0,Sousse,Ariana,mardi,15:00,72.22
242,252,1,Sfax,Tunis,dimanche,09:00,96.27
61,57,0,Ariana,Tunis,mardi,21:00,21.32
122,170,0,Sousse,Sfax,vendredi,11:00,54.16
122,169,1,Tunis,Monastir,mardi,10:00,52.86
139,155,1,Bizerte,Monastir,samedi,12:00,61.85
169,191,0,Ariana,Bizerte,samedi,07:00,77.41
132,124,1,Sfax,Ariana,samedi,20:00,58.53
289,312,1,Monastir,Tunis,mardi,08:00,123.63
249,318,0,Sousse,Ariana,samedi,21:00,109.34
133,146,1,Tunis,Bizerte,mardi,06:00,56.0
156,157,0,Monastir,Nabeul,dimanche,09:00,61.69
137,152,1,Tunis,Sousse,samedi,07:00,63.97
160,179,1,Tunis,Nabeul,jeudi,17:00,69.62
108,101,1,Monastir,Sousse,jeudi,17:00,49.19
69,65,0,Sousse,Ariana,samedi,14:00,32.36
263,351,0,Tunis,Sfax,mardi,17:00,113.38
242,244,1,Monastir,Sfax,jeudi,19:00,99.17
217,290,1,Nabeul,Sousse,dimanche,18:00,97.83
125,106,1,Sousse,Bizerte,lundi,07:00,54.71
113,131,0,Sfax,Tunis,jeudi,09:00,46.95
162,130,1,Nabeul,Bizerte,mardi,09:00,64.95
203,246,1,Nabeul,Sousse,lundi,12:00,85.34
144,177,1,Bizerte,Sousse,dimanche,16:00,60.68
42,47,0,Tunis,Sfax,mercredi,13:00,15.0
247,285,1,Tunis,Nabeul,jeudi,20:00,101.54
60,80,0,Tunis,Ariana,lundi,13:00,22.1
106,121,1,Bizerte,Sousse,lundi,21:00,43.88
156,178,1,Tunis,Sousse,vendredi,16:00,66.89
229,247,1,Sfax,Tunis,vendredi,21:00,98.22
15,15,0,Bizerte,Tunis,lundi,08:00,9.81
190,217,1,Sousse,Sfax,jeudi,07:00,83.86
125,122,0,Bizerte,Ariana,mercredi,20:00,48.94
137,140,1,Sfax,Bizerte,vendredi,17:00,62.73
232,303,0,Tunis,Sousse,jeudi,21:00,95.02
297,357,0,Tunis,Monastir,vendredi,13:00,125.03
136,151,1,Sousse,Monastir,lundi,21:00,58.47
255,259,0,Sfax,Nabeul,lundi,21:00,101.53
179,230,0,Bizerte,Ariana,vendredi,15:00,78.14
45,57,0,Sousse,Sfax,vendredi,16:00,19.45
273,333,1,Sfax,Sousse,jeudi,08:00,118.3
297,340,1,Sousse,Bizerte,mercredi,17:00,126.34
60,64,0,Sfax,Monastir,dimanche,21:00,23.58
179,231,1,Bizerte,Sfax,mardi,20:00,77.09
110,122,0,Monastir,Nabeul,jeudi,10:00,46.42
56,68,1,Bizerte,Monastir,samedi,12:00,27.77
153,211,1,Nabeul,Monastir,lundi,13:00,64.14
67,56,0,Nabeul,Monastir,samedi,09:00,26.26
126,106,0,Ariana,Monastir,mardi,14:00,48.24
67,90,0,Tunis,Monastir,lundi,13:00,30.44
299,282,1,Nabeul,Sfax,samedi,18:00,129.17
281,311,1,Bizerte,Sfax,vendredi,21:00,120.8
78,91,0,Nabeul,Ariana,samedi,16:00,34.98
95,76,1,Nabeul,Monastir,dimanche,18:00,42.16
229,189,0,Nabeul,Monastir,dimanche,10:00,90.65
109,98,1,Sfax,Monastir,mardi,11:00,45.95
32,26,1,Sfax,Bizerte,lundi,18:00,17.84
232,187,0,Sousse,Nabeul,mercredi,15:00,90.75
105,137,0,Nabeul,Sfax,mardi,13:00,45.06
256,349,1,Sfax,Bizerte,lundi,13:00,111.37
169,230,1,Sfax,Bizerte,mardi,15:00,73.77
42,45,0,Sfax,Tunis,mercredi,06:00,19.66
110,129,0,Ariana,Sfax,mardi,18:00,49.37
99,98,1,Monastir,Tunis,vendredi,20:00,43.62
99,99,0,Tunis,Sousse,dimanche,14:00,38.67
123,144,0,Sfax,Sousse,jeudi,16:00,49.72
226,289,0,Tunis,Nabeul,mardi,14:00,90.22
201,230,0,Sfax,Sousse,mercredi,07:00,87.93
45,46,0,Nabeul,Bizerte,mardi,21:00,19.62
233,306,0,Ariana,Tunis,vendredi,17:00,104.19
192,240,0,Ariana,Monastir,jeudi,09:00,78.26
71,77,0,Tunis,Sfax,jeudi,18:00,30.69
196,168,1,Monastir,Tunis,lundi,13:00,78.59
215,259,1,Ariana,Tunis,mercredi,06:00,89.28
153,163,0,Sfax,Nabeul,mercredi,12:00,63.39
62,79,0,Monastir,Nabeul,dimanche,18:00,32.86
48,41,1,Ariana,Nabeul,lundi,19:00,23.57
248,219,1,Sousse,Bizerte,lundi,11:00,100.36
262,341,1,Sousse,Sfax,jeudi,16:00,110.1
292,357,0,Sousse,Tunis,lundi,13:00,120.36
38,32,0,Ariana,Monastir,lundi,08:00,20.49
154,210,0,Nabeul,Ariana,samedi,16:00,67.76
141,142,1,Ariana,Sfax,samedi,15:00,58.39
28,24,0,Sfax,Tunis,vendredi,15:00,16.36
182,146,1,Ariana,Sfax,lundi,08:00,79.39
10,12,1,Sousse,Sfax,lundi,10:00,6.81
199,206,1,Tunis,Bizerte,mardi,15:00,82.99
126,173,1,Ariana,Tunis,mardi,21:00,54.15
182,251,0,Ariana,Tunis,jeudi,10:00,75.85
222,309,0,Sfax,Monastir,vendredi,10:00,95.99
173,195,1,Sousse,Monastir,mardi,08:00,75.25
10,11,1,Sfax,Tunis,jeudi,13:00,5.0
268,359,0,Nabeul,Sousse,lundi,19:00,111.54
165,165,1,Tunis,Nabeul,mardi,13:00,67.1
173,186,1,Tunis,Bizerte,jeudi,10:00,70.71
50,47,0,Monastir,Bizerte,mardi,16:00,18.54
154,149,0,Bizerte,Monastir,jeudi,13:00,62.21
55,46,1,Sfax,Sousse,mercredi,07:00,29.01
91,95,0,Monastir,Ariana,vendredi,09:00,37.62
295,389,0,Bizerte,Sousse,dimanche,13:00,125.45
14,11,0,Bizerte,Sfax,samedi,15:00,8.29
248,220,0,Ariana,Bizerte,jeudi,06:00,100.09
291,299,1,Sousse,Tunis,dimanche,11:00,119.19
107,87,0,Sousse,Sfax,mardi,10:00,43.65
15,18,0,Sfax,Monastir,mercredi,20:00,8.42
174,218,0,Tunis,Ariana,lundi,12:00,72.27
154,145,0,Tunis,Sfax,vendredi,21:00,62.1
297,245,0,Sousse,Sfax,dimanche,20:00,117.0
81,65,1,Tunis,Sfax,dimanche,17:00,39.93
277,357,1,Tunis,Sousse,mardi,18:00,120.97
231,294,0,Sousse,Monastir,lundi,20:00,96.52
75,96,0,Monastir,Nabeul,mercredi,12:00,33.1
201,162,1,Sousse,Bizerte,mardi,16:00,82.87
258,285,1,Tunis,Sfax,dimanche,10:00,108.46
39,45,0,Ariana,Monastir,samedi,14:00,20.35
147,199,1,Sfax,Ariana,mardi,18:00,68.37
282,269,1,Bizerte,Sousse,vendredi,08:00,121.34
214,198,0,Nabeul,Tunis,jeudi,12:00,84.08
249,250,0,Nabeul,Bizerte,lundi,21:00,98.0
193,202,1,Ariana,Nabeul,jeudi,20:00,80.38
204,226,1,Nabeul,Sousse,lundi,15:00,84.03
286,257,1,Nabeul,Bizerte,samedi,12:00,117.24
179,162,0,Sfax,Nabeul,dimanche,09:00,73.27
21,19,1,Nabeul,Sousse,dimanche,13:00,13.87
87,86,0,Monastir,Bizerte,lundi,07:00,37.7
116,156,0,Ariana,Nabeul,jeudi,16:00,48.72
35,46,1,Tunis,Sfax,lundi,20:00,15.45
216,242,1,Nabeul,Tunis,jeudi,16:00,90.57
223,209,1,Nabeul,Ariana,mercredi,09:00,89.56
163,133,1,Bizerte,Tunis,samedi,20:00,65.41
16,19,0,Nabeul,Sousse,samedi,13:00,14.17
283,302,0,Ariana,Bizerte,mardi,08:00,119.83
24,20,0,Tunis,Monastir,mardi,21:00,9.12
282,261,1,Ariana,Nabeul,mardi,17:00,117.68
135,117,0,Bizerte,Nabeul,mardi,20:00,52.58
76,90,1,Tunis,Sousse,mardi,08:00,33.93
120,138,1,Monastir,Tunis,jeudi,16:00,53.18
245,214,0,Sousse,Tunis,jeudi,06:00,97.26
110,111,1,Bizerte,Ariana,dimanche,20:00,43.93
238,323,0,Bizerte,Sousse,mardi,12:00,100.34
159,148,1,Nabeul,Sousse,lundi,08:00,68.07
104,86,0,Bizerte,Monastir,mardi,13:00,39.97
256,212,0,Tunis,Ariana,jeudi,15:00,100.61
232,310,1,Monastir,Nabeul,dimanche,08:00,102.62
229,309,0,Ariana,Tunis,dimanche,10:00,94.73
71,96,0,Ariana,Monastir,jeudi,09:00,30.78
212,242,0,Bizerte,Nabeul,mardi,20:00,85.65
127,155,1,Nabeul,Monastir,mardi,17:00,58.94
234,290,1,Tunis,Sfax,vendredi,19:00,101.79
47,53,0,Monastir,Ariana,mardi,17:00,21.74
268,222,1,Sfax,Monastir,lundi,19:00,110.0
147,204,0,Monastir,Ariana,lundi,18:00,62.73
177,227,0,Tunis,Bizerte,samedi,10:00,76.19
47,49,1,Nabeul,Tunis,vendredi,10:00,22.36
104,141,1,Nabeul,Monastir,jeudi,07:00,48.61
146,134,0,Tunis,Monastir,mardi,11:00,60.06
44,59,1,Sfax,Bizerte,mardi,13:00,22.1
276,352,1,Tunis,Sousse,samedi,17:00,123.58
