prompt,completion
"Startup: EdTech platform\nCategory: Education\nDesired fund: 50000\nCurrent fund: 10000\nStatus: active\nDescription: Online learning for rural areas","Attractiveness: 72\nRisk: Medium\nReason: clear problem, partial funding but unclear revenue model"
"Startup: GreenTech Campus\nCategory: Environment\nDesired fund: 120000\nCurrent fund: 20000\nStatus: active\nDescription: Solar-powered campus utilities","Attractiveness: 68\nRisk: Medium\nReason: promising impact, high capex, partnerships required"
"Startup: SkillBridge\nCategory: HR/Recruitment\nDesired fund: 80000\nCurrent fund: 40000\nStatus: active\nDescription: AI-driven skill matching for graduates","Attractiveness: 77\nRisk: Medium\nReason: traction indicators, competitive landscape manageable"
"Startup: MindFuel\nCategory: HealthTech\nDesired fund: 150000\nCurrent fund: 50000\nStatus: pending\nDescription: Mental health companion app","Attractiveness: 64\nRisk: Medium\nReason: sensitive domain, monetization clarity needed"
"Startup: Servio\nCategory: Marketplace\nDesired fund: 60000\nCurrent fund: 15000\nStatus: active\nDescription: Local services marketplace","Attractiveness: 59\nRisk: Medium\nReason: crowded market, differentiation and CAC control needed"
"Startup: AgroSense\nCategory: Agriculture\nDesired fund: 90000\nCurrent fund: 30000\nStatus: active\nDescription: IoT sensors for crop monitoring","Attractiveness: 74\nRisk: Medium\nReason: clear ROI for farmers, hardware logistics risk"
"Startup: FinLite\nCategory: FinTech\nDesired fund: 200000\nCurrent fund: 100000\nStatus: active\nDescription: Micro-investing platform for students","Attractiveness: 71\nRisk: Medium\nReason: regulatory compliance and trust building required"
"Startup: CityRide\nCategory: Mobility\nDesired fund: 110000\nCurrent fund: 25000\nStatus: active\nDescription: Community ride-sharing for campuses","Attractiveness: 66\nRisk: Medium\nReason: adoption requires network effects, safety assurances"
"Startup: BioCure\nCategory: BioTech\nDesired fund: 300000\nCurrent fund: 50000\nStatus: active\nDescription: Affordable gene therapy research","Attractiveness: 62\nRisk: High\nReason: regulatory hurdles and long timelines"
"Startup: ShopSmart\nCategory: E-commerce\nDesired fund: 70000\nCurrent fund: 35000\nStatus: active\nDescription: AI price comparison for students","Attractiveness: 69\nRisk: Medium\nReason: decent traction, crowded space"
"Startup: SafeNet\nCategory: Cybersecurity\nDesired fund: 180000\nCurrent fund: 90000\nStatus: active\nDescription: Zero-trust access for SMEs","Attractiveness: 78\nRisk: Medium\nReason: strong demand, requires enterprise sales motion"
"Startup: CleanWave\nCategory: CleanEnergy\nDesired fund: 220000\nCurrent fund: 60000\nStatus: active\nDescription: Wave energy micro-generators","Attractiveness: 58\nRisk: High\nReason: hardware complexity and capex"
"Startup: FoodFlow\nCategory: FoodTech\nDesired fund: 85000\nCurrent fund: 20000\nStatus: active\nDescription: Supply chain optimization for canteens","Attractiveness: 67\nRisk: Medium\nReason: clear ROI, B2B sales needed"
"Startup: TravelEase\nCategory: Travel\nDesired fund: 50000\nCurrent fund: 5000\nStatus: pending\nDescription: Personalized travel planning for interns","Attractiveness: 55\nRisk: Medium\nReason: low differentiation, needs niche focus"
"Startup: StreamHub\nCategory: Media\nDesired fund: 120000\nCurrent fund: 40000\nStatus: active\nDescription: Creator monetization tools","Attractiveness: 70\nRisk: Medium\nReason: platform growth potential, competitive platforms"
"Startup: PlayForge\nCategory: Gaming\nDesired fund: 100000\nCurrent fund: 20000\nStatus: active\nDescription: UGC gaming platform for campus events","Attractiveness: 60\nRisk: Medium\nReason: engagement uncertainty, requires community building"
"Startup: HealthLink\nCategory: HealthTech\nDesired fund: 160000\nCurrent fund: 80000\nStatus: active\nDescription: Telemedicine for rural clinics","Attractiveness: 75\nRisk: Medium\nReason: strong need, compliance challenges"
"Startup: LearnLoop\nCategory: Education\nDesired fund: 60000\nCurrent fund: 30000\nStatus: active\nDescription: Peer-to-peer tutor marketplace","Attractiveness: 68\nRisk: Medium\nReason: marketplace dynamics and CAC"
